date,t,LASTOBSERVED,LASTDAY,SimpleExpSmoothing,ExpSmoothing,ARIMA,SARIMA,Prophet
1970-01-07 14:15:00,107875,111065.0,96986.0,107555.81081968202,110720.51698276491,108425.23099307535,111049.38485302108,103053.57491311865
1970-01-07 14:30:00,108070,109470.0,95763.0,107637.9407910414,107170.74080652316,107305.33332317592,107121.87594061544,103261.61148682822
1970-01-07 14:45:00,105397,109003.33333333331,95074.0,107722.71622318,106623.17280539787,108278.569860378,106890.21915195762,103455.65180186195
1970-01-07 15:00:00,111950,108101.75,101216.0,107446.64779234248,110614.84608454986,109639.2452070738,112476.21566364577,103703.73764311154
1970-01-07 15:15:00,108981,108323.0,97468.0,107893.93309897045,104834.51147987763,109061.98882958674,108317.40968158492,104064.29822395228
1970-01-07 15:30:00,107883,108599.5,97732.0,108253.61199401152,103396.2534552259,108707.6277467576,108441.13727379827,104465.05078712427
1970-01-07 15:45:00,110849,108552.75,98982.0,108407.0969205518,107301.4552151084,108350.58304277407,107673.01085936851,104906.52096720098
1970-01-07 16:00:00,112355,109915.75,99619.0,109178.62948571028,111885.20528890043,110751.21857184748,110507.87765184553,105425.46025275454
1970-01-07 16:15:00,112673,110017.0,100195.0,109607.46575226384,114242.30686916743,110271.2819502862,111134.1916211558,105972.75120010885
1970-01-07 16:30:00,109304,110940.0,96229.0,110290.52543923014,114251.36131799803,109875.10992664062,108311.24088128372,106613.70906765776
1970-01-07 16:45:00,108404,111295.25,94094.0,110805.19692276826,108420.53625216913,110721.83015075533,106822.82432807476,107307.38798294
1970-01-07 17:00:00,114781,110684.0,107063.0,110743.94647536636,115189.0774334174,111255.50080635026,117512.7163296266,107995.5078522222
1970-01-07 17:15:00,110083,111290.5,119562.0,111024.2581463506,121891.32090648511,111601.02187701895,124733.22471082352,108759.85542129756
1970-01-07 17:30:00,122678,110643.0,116404.0,110828.53043445369,111333.84723647535,110124.98607764188,119613.07662979186,109504.6529583622
1970-01-07 17:45:00,118029,113986.5,113968.0,112429.13865068735,151329.92133023014,111987.05489774355,117275.27499071568,110400.63339175835
1970-01-07 18:00:00,113192,116392.75,114158.0,114449.03741024985,138975.97682655422,114552.27124993142,115856.15347368363,111343.1890556104
1970-01-07 18:15:00,112158,115995.5,113028.0,115232.53647291518,114050.18205087227,113030.22171316612,113364.46798476006,112206.04654161708
1970-01-07 18:30:00,105229,116514.25,105427.0,115880.6133115497,138113.8135896688,115545.04782927874,110105.01306674683,113018.19597084676
1970-01-07 18:45:00,101341,112152.0,103889.0,113980.57964972786,113547.42767824653,113214.96104748444,106777.24210590596,113600.0789536001
1970-01-07 19:00:00,111077,107980.0,111221.0,110911.21338471008,120793.22633993586,109574.6129528168,109956.95491787304,113983.68740003006
1970-01-07 19:15:00,104886,107451.25,103536.0,109141.40188129852,113781.58553642081,109472.50217235294,109148.46906190117,114265.8642897124
1970-01-07 19:30:00,112097,105633.25,113832.0,107348.0653542655,114116.68499899094,107449.67732080426,119882.25354475148,114359.87510157414
1970-01-07 19:45:00,108771,107350.25,104125.0,107349.75774084443,113162.61833252873,107031.11859696456,115297.1884783455,114359.69974218195
1970-01-07 20:00:00,111516,109207.75,105637.0,108300.7173008466,121621.7453901994,109870.09253604118,117302.42016655036,114215.5134354888
1970-01-07 20:15:00,115335,109317.5,113035.0,108821.38838940114,119204.52633120379,109259.51506950472,120596.6943683734,113925.4670954422
1970-01-07 20:30:00,120535,111929.75,104765.0,110413.42122364305,108312.95095975972,111426.355090624,107518.48898379596,113554.83944505412
1970-01-07 20:45:00,112801,114039.25,99001.0,112264.32256748991,95308.03193734998,112326.48600022208,92180.18403436716,113039.24367051062
1970-01-07 21:00:00,118429,115046.75,107430.0,113686.86906471652,108988.78040966924,112930.51336991464,106529.62422589256,112459.72331885432
1970-01-07 21:15:00,118738,116775.0,107366.0,115264.42254808088,110785.72932601772,114685.05430833485,112447.54153677274,111836.72160082572
1970-01-07 21:30:00,115279,117625.75,114123.0,116470.40117781473,113263.52987948898,116428.16374447312,119992.0127754398,111158.58919338867
1970-01-07 21:45:00,108869,116311.75,120248.0,116392.45366442805,121917.25744000734,113755.2277926404,124645.48410186551,110463.6207913477
1970-01-07 22:00:00,105271,115328.75,119311.0,115850.46163311136,117464.49004044803,113879.62184214537,120481.22410573016,109724.01910276477
1970-01-07 22:15:00,103886,112039.25,103361.0,113903.54016867572,104738.78869278949,113286.36568472494,103586.90630874508,108881.77793055533
1970-01-07 22:30:00,99387,108326.25,102025.0,111050.4366536754,101617.77257482901,110719.09383245312,99878.63386039445,108000.21795937158
1970-01-07 22:45:00,112275,104353.25,104494.0,107625.79183705251,102404.93876310154,106729.9236713836,99902.64410279262,107100.28908164515
1970-01-07 23:00:00,120556,105204.75,105285.0,106386.4897161578,104381.11012973443,107167.19905456043,104478.14004650002,106363.23064543404
1970-01-07 23:15:00,102609,109026.0,102414.0,107736.62991832312,108624.31423065063,109199.63587359544,106703.57549113513,105898.1641490585
1970-01-07 23:30:00,101845,108706.75,99573.0,108232.85762056694,106300.73728102048,106685.74571773632,105451.43124976708,105656.46338936414
