date,t,LASTOBSERVED,LASTDAY,SimpleExpSmoothing,ExpSmoothing,ARIMA,SARIMA,Prophet
2012-03-13 00:00:00,112572,122464.0,104683.0,126476.04196336784,127397.09633847576,121696.11324635302,123995.24955547517,113980.67684662418
2012-03-13 01:00:00,102407,117518.0,103651.0,121500.19139976152,123517.27201096303,117465.2330344237,119752.33991014576,114126.86293331876
2012-03-13 02:00:00,102407,112481.0,104289.0,116368.02188056785,119616.47311590712,114524.3091745323,115813.60971757914,113961.39237834528
2012-03-13 03:00:00,102407,109962.5,105866.0,113102.94630268856,117010.63069480887,111336.6252667032,113665.10487737643,113444.60464185632
2012-03-13 04:00:00,102407,108451.4,106746.0,111010.28025524064,116988.9348225652,108859.38044125929,111416.46386101232,113436.943344369
2012-03-13 05:00:00,102407,107444.0,109932.0,109586.41262125406,116574.67311699293,109027.10263726882,111158.5568258016,114494.4961472198
2012-03-13 06:00:00,102407,106724.42857142857,107323.0,108562.99861483544,118490.59814788713,108619.51205109818,109963.18249917302,116431.23246664729
2012-03-13 07:00:00,102407,106184.75,103864.0,107794.09796797528,115236.60466580876,107672.93015133154,108928.0357146265,118346.10179017203
2012-03-13 08:00:00,110054,105765.0,107414.0,107195.64650055557,114811.43855629598,107928.39997042312,109974.706674028,119712.7967767843
2012-03-13 09:00:00,133569,106193.9,118792.0,107284.02035287934,114804.65353623801,108616.38348511288,114320.65491959162,120791.59089567247
2012-03-13 10:00:00,133600,108682.54545454548,136179.0,109103.77174252272,112128.33103418545,110121.89154645776,121598.70627897816,122151.32206171792
2012-03-13 11:00:00,134965,110759.0,135845.0,111027.7899702014,118696.78224735522,111421.64170342426,122300.3090401568,123808.7073535562
2012-03-13 12:00:00,136148,111800.75,137301.0,111686.08690857036,115040.9899789736,113900.77678621984,123357.77863863918,125149.19992772776
2012-03-13 13:00:00,141307,113765.41666666669,134449.0,113288.3483548848,117247.25397710346,115192.2876004289,123119.6732701308,125671.76446479662
2012-03-13 14:00:00,124072,117007.08333333331,134146.0,116117.75298808234,126714.36982634105,116252.60687520736,125830.06582173018,125717.6564955386
2012-03-13 15:00:00,102680,118812.5,143916.0,118160.18253155977,119786.80804250047,117595.00501495144,127929.46569746351,126204.54489118863
2012-03-13 16:00:00,105442,118835.25,152412.0,118570.54792931024,123373.36655948799,117516.48821385956,133696.9611802046,127975.77426237644
2012-03-13 17:00:00,107930,119088.16666666669,151077.0,118854.93758546253,123159.7951836231,116386.31110036396,132474.49075534425,130757.78149454074
2012-03-13 18:00:00,102407,119548.41666666669,156660.0,119279.60467562552,128546.60016620815,115087.93038379136,134765.84470723235,133068.64214653554
2012-03-13 19:00:00,102407,119548.41666666669,151168.0,119364.69439797616,125514.37207486492,114956.5090697696,129035.79915294932,132943.56156851954
2012-03-13 20:00:00,104046,119548.41666666669,157267.0,119381.76564662327,154275.65103946935,114666.1592831758,130361.8788271256,129732.71039416258
2012-03-13 21:00:00,106504,119047.75,137483.0,119021.68173669296,112716.74304652796,112917.06366271465,119303.38247418932,124573.7841751462
2012-03-13 22:00:00,104592,116792.33333333331,131445.0,117242.65460601036,107908.28200022328,112298.9765664182,112589.20535431024,119475.5443662788
2012-03-13 23:00:00,106746,114375.0,122464.0,114965.41719321976,104621.66345858753,112019.1685839458,105886.07215740067,116139.85520293516
2012-03-14 00:00:00,106473,112023.41666666669,112572.0,112631.49309768598,114490.82199146983,110564.57492754736,100329.41931105504,114657.28560364863
2012-03-14 01:00:00,102407,109550.5,102407.0,110189.87244166846,99503.18774613232,109570.33264848246,94080.9760631838,114039.29605984571
2012-03-14 02:00:00,102407,106308.83333333331,102407.0,107120.06325313252,99238.62059681564,109084.09177317769,91798.98394465276,113106.92898858844
2012-03-14 03:00:00,102407,104503.41666666669,102407.0,105016.15141451557,100097.07708425923,108318.17812070563,91230.32105261691,111948.11328259743
2012-03-14 04:00:00,103196,104480.66666666669,102407.0,104589.12635122628,99992.53489273648,107698.58162895284,91905.42017964444,111265.43299377586
2012-03-14 05:00:00,105927,104293.5,102407.0,104352.83152118797,102302.59787513046,107834.04586935775,93795.80413283984,111676.09389948272
2012-03-14 06:00:00,105988,104126.58333333331,102407.0,104171.9908184772,106054.88350367406,108125.56809505555,95277.4943713331,113007.05636684912
2012-03-14 07:00:00,108051,104425.0,102407.0,104374.22164566182,105518.97764081221,107931.8909664183,97286.43387757246,114638.33876803303
