date,t,LASTOBSERVED,LASTDAY,SimpleExpSmoothing,ExpSmoothing,ARIMA,SARIMA,Prophet
2019-07-17 19:10:00,122338,119011.0,130054.0,122108.52594623252,122803.19041403334,122360.91674409973,123593.72660280744,123078.4038203182
2019-07-17 19:15:00,122076,122338.0,128373.0,122199.48839382477,120691.07979576869,122568.50723327966,122196.5,122878.46475911688
2019-07-17 19:20:00,121641,122076.0,124475.0,122150.53816887725,120626.50885714471,122120.66211519051,121250.12121359134,122652.45371720903
2019-07-17 19:25:00,121939,121641.0,123494.0,121948.5596086793,122141.81936329343,122115.13860427402,120709.34863062394,122414.32730522152
2019-07-17 19:30:00,122427,121939.0,124465.0,121944.77022426212,122378.63907291631,121837.5703680841,120304.66666666669,122139.66385143714
2019-07-17 19:35:00,124250,122427.0,124679.0,122135.92386443543,121053.85203651257,122054.15957081557,119990.66297927395,121853.96098001867
2019-07-17 19:40:00,122341,124250.0,121834.0,122973.93381166096,121547.72394476978,122474.20030047523,119768.82729246208,121549.89163005725
2019-07-17 19:45:00,121828,122341.0,118539.0,122723.04179259676,121772.95538374747,122627.72763809052,119645.0,121204.33427934686
2019-07-17 19:50:00,122467,121828.0,122958.0,122368.25138899648,120456.47916262828,122361.22305400732,119620.91853667356,120849.99542577234
2019-07-17 19:55:00,118673,122467.0,125475.0,122407.39487910242,123027.03245981505,122409.60139095294,119658.0170928078,120481.22271458284
2019-07-17 20:00:00,120968,118673.0,121526.0,120927.09811830474,120511.88874578384,121373.25418219288,119529.75,120065.53849306668
2019-07-17 20:05:00,123170,120968.0,124936.0,120943.31143396744,121481.67725855713,121104.00042655037,119197.00423524072,119630.66447530549
2019-07-17 20:10:00,118726,123170.0,120920.0,121825.96042485176,120752.16544293109,121400.44763853172,118741.62875230152,119194.67361955736
2019-07-17 20:15:00,118473,118726.0,120065.0,120597.1505308611,119763.5084470983,120782.74369744625,118646.25,118728.93985103382
2019-07-17 20:20:00,122424,118473.0,122683.0,119755.14714019767,120301.14593586029,119929.6100334244,118993.17413124656,118234.41436517549
2019-07-17 20:25:00,118945,122424.0,118482.0,120813.0680005542,119722.16376267352,120310.5045422294,119645.0559860727,117743.6258540586
2019-07-17 20:30:00,118292,118945.0,117524.0,120072.57453382287,118881.59780892028,119867.1450654354,119789.0,117223.39063993705
2019-07-17 20:35:00,124589,118292.0,124427.0,119366.76307035753,119928.37170678495,119325.25822058496,119288.22343213572,116687.3741896425
2019-07-17 20:40:00,118124,124589.0,120382.0,121436.83349979372,120787.85910711948,120367.70000020645,118216.60766689944,116177.54968079562
2019-07-17 20:45:00,116642,118124.0,118995.0,120123.6417090034,119546.65794542932,119926.03700848314,117010.5,115607.01082356994
2019-07-17 20:50:00,119490,116642.0,120465.0,118760.12757238734,119096.25285606743,118941.18113654564,115741.76462472451,115019.20793072994
2019-07-17 20:55:00,118446,119490.0,114382.0,119046.55242769074,117103.67054281055,118727.21215698372,114533.48899682472,114451.65712825756
2019-07-17 21:00:00,115517,118446.0,116201.0,118804.1973085832,117910.95973184683,118498.84237169524,114117.5,113900.37167617126
2019-07-17 21:05:00,116325,115517.0,111807.0,117501.1675847506,115322.30833851377,117534.65553133076,114619.47504334502,113310.85106654173
2019-07-17 21:10:00,116174,116325.0,115969.0,117034.94022470234,116176.76436819305,116873.48632626628,115765.04734875604,112720.3061129536
2019-07-17 21:15:00,116225,116174.0,118977.0,116693.66752400348,115184.37673999945,116329.36955208796,115931.75,112128.44720511418
2019-07-17 21:20:00,116849,116225.0,113076.0,116507.88989733745,113598.84811241264,115999.08678447506,114843.31762775403,111551.73626654764
2019-07-17 21:25:00,115983,116849.0,115226.0,116643.10435547426,115112.79599756346,115894.54343372866,112808.39406074396,110973.44608875472
2019-07-17 21:30:00,111609,115983.0,112107.0,116381.44205921704,113347.93230537194,115697.12761038024,111642.75,110399.69868120352
2019-07-17 21:35:00,112685,111609.0,110515.0,114489.66822434837,112989.4159057096,114380.41026295078,111656.0315978905,109832.21752675775
